timestamp,symbol,action,confidence,buy_prob,sell_prob,hold_prob
2025-09-01 04:49:24.514000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:50:24.878000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:50:25.269000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:50:25.655000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:50:26.049000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:51:26.437000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:51:26.817000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:51:27.208000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:51:27.593000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:52:27.957000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:52:28.348000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:52:28.752000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:52:29.127000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:53:29.501000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:53:29.893000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:53:30.284000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:53:30.672000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:54:31.035000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:54:31.428000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:54:31.816000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:54:32.191000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:55:32.563000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:55:32.959000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:55:33.334000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:55:33.754000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:56:34.114000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:56:34.500000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:56:34.880000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:56:35.267000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:57:35.641000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:57:36.037000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:57:36.427000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:57:36.818000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:58:37.188000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:58:37.579000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:58:37.974000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:58:38.365000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:59:38.756000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:59:39.146000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:59:39.517000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:59:39.912000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 05:00:40.272000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 05:00:40.674000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 05:00:41.067000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 05:00:41.463000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 05:01:41.833000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 05:01:42.224000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 05:01:42.611000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 05:01:42.991000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 05:02:43.364000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 05:02:43.771000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 05:02:44.146000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 05:02:44.534000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 05:03:44.912000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 05:03:45.287000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 05:03:45.674000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 05:03:46.069000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 05:04:46.451000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 05:04:46.835000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 05:04:47.224000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 05:04:47.612000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 05:05:47.987000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 05:05:48.365000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 05:05:48.773000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 05:05:49.164000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 05:06:49.535000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 05:06:49.929000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 05:06:50.310000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 05:06:50.692000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 05:07:51.054000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 05:07:51.452000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 05:07:51.836000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 05:07:52.226000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 05:08:52.597000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 05:08:52.994000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 05:08:53.367000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 05:08:53.773000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 05:09:54.146000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 05:09:54.536000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
